,house_name,total_price,unit_price,unit_price_desc,type,location1,area,total_price_min,total_price_max,area_min,area_max
210,崇城壹品,总价90-95(万/套),7400.0, 元/㎡(均价),住宅,嵊州市,建面 122-126㎡,90.0,95.0,122.0,126.0
211,卓越·蔚蓝海岸,总价121-157.5(万/套),12300.0, 元/㎡(均价),住宅,杭州湾新区,建面 75-140㎡,121.0,157.0,75.0,140.0
212,盈都新天地,总价38-70(万/套),14500.0, 元/㎡(均价),商业类,海宁市,建面 25-41㎡,38.0,70.0,25.0,41.0
213,碧桂园海上传奇,总价124-179(万/套),13200.0, 元/㎡(均价),住宅,杭州湾新区,建面 67-143㎡,124.0,179.0,67.0,143.0
214,柳岸雅园,总价132-150(万/套),10500.0, 元/㎡(均价),住宅,德清县,建面 125-139㎡,132.0,150.0,125.0,139.0
215,大地西城美院,总价109-125(万/套),8600.0, 元/㎡(均价),住宅,嵊州市,建面 89-139㎡,109.0,125.0,89.0,139.0
216,大地西城美院,总价290-420(万/套),16000.0, 元/㎡(均价),别墅,嵊州市,建面 193-235㎡,290.0,420.0,193.0,235.0
217,长和庄园,总价57-78(万/套),7500.0, 元/㎡(均价),住宅,长兴县,建面 89-120㎡,57.0,78.0,89.0,120.0
218,阳光城碧桂园玺园,总价365-485(万/套),30000.0, 元/㎡(均价),住宅,越城区,建面 128-169㎡,365.0,485.0,128.0,169.0
219,镜湖之星,总价70-80(万/套),17000.0, 元/㎡(均价),商业类,越城区,建面 39-48㎡,70.0,80.0,39.0,48.0
220,洛塘滨河郡,总价140(万/套),15500.0, 元/㎡(均价),住宅,海宁市,建面 70-90㎡,140.0,140.0,70.0,90.0
221,朗诗绿洲璟院,总价110-161(万/套),13500.0, 元/㎡(均价),住宅,桐乡市,建面 78-115㎡,110.0,161.0,78.0,115.0
222,世茂美的云筑,总价240-320(万/套),24000.0, 元/㎡(均价),住宅,越城区,建面 100-136㎡,240.0,320.0,100.0,136.0
223,卓越·蔚蓝海岸,总价350-360(万/套),20000.0, 元/㎡(均价),别墅,杭州湾新区,建面 153-161㎡,350.0,360.0,153.0,161.0
224,科大春风印月里,总价96-140(万/套),11000.0, 元/㎡(均价),住宅,桐乡市,建面 72-128㎡,96.0,140.0,72.0,128.0
225,海波名苑,总价180-230(万/套),18500.0, 元/㎡(均价),住宅,柯桥区,建面 90-130㎡,180.0,230.0,90.0,130.0
226,江南一品,总价68-83(万/套),10900.0, 元/㎡(均价),住宅,海盐县,建面 69-98㎡,68.0,83.0,69.0,98.0
227,悦铂商务中心,总价50(万/套),9500.0, 元/㎡(均价),商业类,杭州湾新区,建面 57㎡,50.0,50.0,57.0,57.0
228,新滨广场,总价100(万/套),30000.0, 元/㎡(均价),商业,柯桥区,建面 16000㎡,100.0,100.0,16000.0,16000.0
229,鸿翔金桂里,总价100(万/套),15500.0, 元/㎡(均价),住宅,海宁市,建面 67-98㎡,100.0,100.0,67.0,98.0
230,会稽云庐,总价400-637(万/套),27000.0, 元/㎡(均价),别墅,越城区,建面 150-236㎡,400.0,637.0,150.0,236.0
231,碧桂园海上风华,总价96-170(万/套),13000.0, 元/㎡(均价),住宅,杭州湾新区,建面 70-135㎡,96.0,170.0,70.0,135.0
232,和天地商业中心,总价128(万/套),30000.0, 元/㎡(均价),商业,柯桥区,,128.0,128.0,,
233,鸿悦府,总价69-100(万/套),9400.0, 元/㎡(均价),住宅,上虞区,建面 73-100㎡,69.0,100.0,73.0,100.0
234,合景臻颐府,总价226-370(万/套),20050.0, 元/㎡(均价),住宅,南湖区,建面 98-135㎡,226.0,370.0,98.0,135.0
235,鸿翔凤语江南,总价140-196(万/套),14000.0, 元/㎡(均价),住宅,桐乡市,建面 89-125㎡,140.0,196.0,89.0,125.0
236,华景川融信晴芳园,总价158-220(万/套),17500.0, 元/㎡(均价),住宅,桐乡市,建面 92-125㎡,158.0,220.0,92.0,125.0
237,枫尚学府,总价115-188(万/套),16900.0, 元/㎡(均价),住宅,嘉善县,建面 69-115㎡,115.0,188.0,69.0,115.0
238,春风棠颂府,总价230-310(万/套),12375.0, 元/㎡(均价),别墅,上虞区,建面 152-194㎡,230.0,310.0,152.0,194.0
239,万城·杭悦府,总价227-325(万/套),25000.0, 元/㎡(均价),住宅,海宁市,建面 94-126㎡,227.0,325.0,94.0,126.0
240,世合万科理想大地·启宸,总价195(万/套),14800.0, 元/㎡(均价),住宅,南湖区,建面 117-131㎡,195.0,195.0,117.0,131.0
241,悦汇大厦,总价65(万/套),11000.0, 元/㎡(均价),商业,越城区,建面 55㎡,65.0,65.0,55.0,55.0
242,蓝城·锦月园,总价140-220(万/套),15500.0, 元/㎡(均价),住宅,海宁市,建面 89-142㎡,140.0,220.0,89.0,142.0
243,万城九悦府,总价105-124(万/套),12800.0, 元/㎡(均价),住宅,海宁市,建面 75-89㎡,105.0,124.0,75.0,89.0
244,新邻里广场,总价66-100(万/套),8800.0, 元/㎡(均价),住宅,嵊州市,建面 76-116㎡,66.0,100.0,76.0,116.0
245,万城万杭府,总价220-825(万/套),24500.0, 元/㎡(均价),住宅,海宁市,建面 94-330㎡,220.0,825.0,94.0,330.0
246,华景川溪上云筑,总价119-175(万/套),12650.0, 元/㎡(均价),住宅,南湖区,建面 94-138㎡,119.0,175.0,94.0,138.0
247,华景川溪上云筑,总价450(万/套),17250.0, 元/㎡(均价),别墅,南湖区,建面 220㎡,450.0,450.0,220.0,220.0
