,house_name,total_price,total_price_desc,unit_price,info,location1,area,longitude,dimension,latitude,distance_rg
12993,里昂公寓 ,360.0,万,53998.0,2室1厅 | 66.67平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,彭浦,66.67,121.46499,31.307159,31.307159,8.776571820121614
12994,新德公寓 ,340.0,万,57365.0,1室2厅 | 59.27平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,彭浦,59.27,121.445774,31.313692,31.313692,9.853018538872986
12995,保德路241弄 ,358.0,万,57007.0,2室1厅 | 62.8平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,彭浦,62.8,121.463582,31.317290,31.31729,9.912264255742693
12996,三泉家园 ,890.0,万,48210.0,5室1厅 | 184.61平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,彭浦,184.61,121.438527,31.318426,31.318426,10.56517566152011
12997,三泉家园 ,1212.0,万,56851.0,4室2厅 | 213.19平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,彭浦,213.19,121.438527,31.318426,31.318426,10.56517566152011
12998,三泉家园 ,1100.0,万,50035.0,5室2厅 | 219.85平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,彭浦,219.85,121.438527,31.318426,31.318426,10.56517566152011
12999,三泉公寓 ,780.0,万,55105.0,3室2厅 | 141.55平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,彭浦,141.55,121.439308,31.313179,31.313179,9.99003161174243
13000,艺康苑 ,770.0,万,64409.0,3室2厅 | 119.55平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,彭浦,119.55,121.443391,31.320751,31.320751,10.670578378109644
13001,思美公寓 ,579.0,万,61031.0,2室1厅 | 94.87平米 | 南 | 精装 | 高楼层(共20层) | 1998年建 | 塔楼,彭浦,94.87,121.464675,31.306684,31.306684,8.72736437424869
13002,保德公寓 ,545.0,万,56227.0,2室2厅 | 96.93平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,彭浦,96.93,121.443555,31.315207,31.315207,10.075475958289953
13003,共康三村 ,195.0,万,54485.0,1室1厅 | 35.79平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,彭浦,35.79,121.435908,31.313373,31.313373,10.124440521225628
13004,岭南公寓 ,550.0,万,56978.0,2室2厅 | 96.53平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,彭浦,96.53,121.45698,31.316087,31.316087,9.869062026230944
13005,保德公寓 ,495.0,万,55643.0,2室2厅 | 88.96平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,彭浦,88.96,121.443555,31.315207,31.315207,10.075475958289953
13006,保德公寓 ,360.0,万,58805.0,2室1厅 | 61.22平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,彭浦,61.22,121.443555,31.315207,31.315207,10.075475958289953
13007,和源名城 ,398.0,万,67561.0,1室1厅 | 58.91平米 | 南 北 | 简装 | 中楼层(共33层) | 2011年建 | 板楼,彭浦,58.91,121.466516,31.317471,31.317471,9.905419013049183
